Agency,Gage,Timestamp,Discharge [cfs],Stage [ft]
USGS,5355200,11/20/1991,2120,1.36268947
USGS,5355200,11/21/1991,2520,1.619800691
USGS,5355200,11/22/1991,2750,1.767639643
USGS,5355200,11/23/1991,2850,1.831917448
USGS,5355200,11/24/1991,3420,2.198300938
USGS,5355200,11/25/1991,3800,2.442556597
USGS,5355200,11/26/1991,3750,2.410417695
USGS,5355200,11/27/1991,2900,1.864056351
USGS,5355200,11/28/1991,2600,1.671222935
USGS,5355200,11/29/1991,2300,1.478389519
USGS,5355200,11/30/1991,2050,1.317695007
USGS,5355200,12/1/1991,1850,1.189139396
USGS,5355200,12/2/1991,1650,1.060583786
USGS,5355200,12/3/1991,1500,0.964167078
USGS,5355200,12/4/1991,1370,0.880605931
USGS,5355200,12/5/1991,1220,0.784189223
USGS,5355200,12/6/1991,1130,0.726339199
USGS,5355200,12/7/1991,1090,0.700628077
USGS,5355200,12/8/1991,1360,0.874178151
USGS,5355200,12/9/1991,1090,0.700628077
USGS,5355200,12/10/1991,1090,0.700628077
USGS,5355200,12/11/1991,1080,0.694200296
USGS,5355200,12/12/1991,1070,0.687772516
USGS,5355200,12/13/1991,1160,0.74562254
USGS,5355200,12/14/1991,1370,0.880605931
USGS,5355200,12/15/1991,1360,0.874178151
USGS,5355200,12/16/1991,1110,0.713483638
USGS,5355200,12/17/1991,1090,0.700628077
USGS,5355200,12/18/1991,1160,0.74562254
USGS,5355200,12/19/1991,1070,0.687772516
USGS,5355200,12/20/1991,914,0.587499139
USGS,5355200,12/21/1991,906,0.582356915
USGS,5355200,12/22/1991,900,0.578500247
USGS,5355200,12/23/1991,898,0.577214691
USGS,5355200,12/24/1991,890,0.572072466
USGS,5355200,12/25/1991,899,0.577857469
USGS,5355200,12/26/1991,875,0.562430795
USGS,5355200,12/27/1991,850,0.546361344
USGS,5355200,12/28/1991,840,0.539933564
USGS,5355200,12/29/1991,833,0.535434117
USGS,5355200,12/30/1991,824,0.529649115
USGS,5355200,12/31/1991,812,0.521935778
USGS,5355200,1/1/1992,805,0.517436332
USGS,5355200,1/2/1992,785,0.504580771
USGS,5355200,1/3/1992,782,0.502652437
USGS,5355200,1/4/1992,779,0.500724102
USGS,5355200,1/5/1992,842,0.54121912
USGS,5355200,1/6/1992,867,0.557288571
USGS,5355200,1/7/1992,854,0.548932456
USGS,5355200,1/8/1992,698,0.44865908
USGS,5355200,1/9/1992,753,0.484011873
USGS,5355200,1/10/1992,693,0.44544519
USGS,5355200,1/11/1992,737,0.473727424
USGS,5355200,1/12/1992,826,0.530934671
USGS,5355200,1/13/1992,754,0.484654651
USGS,5355200,1/14/1992,615,0.395308502
USGS,5355200,1/15/1992,526,0.338101255
USGS,5355200,1/16/1992,298,0.191547859
USGS,5355200,1/17/1992,586,0.376667938
USGS,5355200,1/18/1992,785,0.504580771
USGS,5355200,1/19/1992,829,0.532863005
USGS,5355200,1/20/1992,779,0.500724102
USGS,5355200,1/21/1992,736,0.473084646
USGS,5355200,1/22/1992,615,0.395308502
USGS,5355200,1/23/1992,571,0.367026268
USGS,5355200,1/24/1992,655,0.421019624
USGS,5355200,1/25/1992,469,0.301462906
USGS,5355200,1/26/1992,644,0.413949065
USGS,5355200,1/27/1992,461,0.296320682
USGS,5355200,1/28/1992,544,0.34967126
USGS,5355200,1/29/1992,420,0.269966782
USGS,5355200,1/30/1992,473,0.304034019
USGS,5355200,1/31/1992,342,0.219830094
USGS,5355200,2/1/1992,381,0.244898438
USGS,5355200,2/2/1992,363,0.233328433
USGS,5355200,2/3/1992,370,0.237827879
USGS,5355200,2/4/1992,412,0.264824557
USGS,5355200,2/5/1992,432,0.277680118
USGS,5355200,2/6/1992,491,0.315604024
USGS,5355200,2/7/1992,493,0.31688958
USGS,5355200,2/8/1992,500,0.321389026
USGS,5355200,2/9/1992,533,0.342600702
USGS,5355200,2/10/1992,491,0.315604024
USGS,5355200,2/11/1992,429,0.275751784
USGS,5355200,2/12/1992,401,0.257753999
USGS,5355200,2/13/1992,434,0.278965675
